"sha256","group_file_count","bytes_per_copy","potential_duplicate_bytes_beyond_one_copy","relative_path"
"362D71A6A2FD17073DED059DDDD44E3D391EDA717C10503EFD5D94C8810AFE7B","4","5503","16509","Robots/LB_MR01_MaintenanceRobot/Validation/Candidate_v009/LB_MR01_Phase3_Hierarchy_v009.json"
"362D71A6A2FD17073DED059DDDD44E3D391EDA717C10503EFD5D94C8810AFE7B","4","5503","16509","Robots/LB_MR01_MaintenanceRobot/Validation/Candidate_v010/LB_MR01_Phase3_Hierarchy_v010.json"
"362D71A6A2FD17073DED059DDDD44E3D391EDA717C10503EFD5D94C8810AFE7B","4","5503","16509","Robots/LB_MR01_MaintenanceRobot/Validation/Candidate_v011/LB_MR01_Phase3_Hierarchy_v011.json"
"362D71A6A2FD17073DED059DDDD44E3D391EDA717C10503EFD5D94C8810AFE7B","4","5503","16509","Robots/LB_MR01_MaintenanceRobot/Validation/Candidate_v012/LB_MR01_Phase3_Hierarchy_v012.json"
"3A4595099CF5EF9DF03C14C4D26D6A70FF305B0105EF35E6A0EA113FC2224905","2","266022","266022","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/05_FlatPanelStillage/Original/rear.png"
"3A4595099CF5EF9DF03C14C4D26D6A70FF305B0105EF35E6A0EA113FC2224905","2","266022","266022","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset09C_FlatStillage/rear.png"
"3A7C87170DD94890153776AB873F3D9BF7235DA967A7613ACC8187E75B593993","2","410890","410890","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/06_PoweredRollerConveyor/Original/left.png"
"3A7C87170DD94890153776AB873F3D9BF7235DA967A7613ACC8187E75B593993","2","410890","410890","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset10_PoweredRollerConveyor/left.png"
"3A8BF69E17CFBCDE490F014F44BD5C5B6B7D296C917B9D2B70CA8D7CC1E403F7","2","92985","92985","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/09_OperatorHMI/Original/left.png"
"3A8BF69E17CFBCDE490F014F44BD5C5B6B7D296C917B9D2B70CA8D7CC1E403F7","2","92985","92985","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/09_OperatorHMI/left.png"
"3AFBB4375D0F2F6BFAC31C7ADF35D89A31CA743EFCEC42E13ABD3E372F3C9B8D","2","5959","5959","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/08_ElectricalCabinet/task_complete.json"
"3AFBB4375D0F2F6BFAC31C7ADF35D89A31CA743EFCEC42E13ABD3E372F3C9B8D","2","5959","5959","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/08_ElectricalCabinet/task_latest.json"
"3BEED4401FDB7F9FD57A2C10E719BACC0CDBF91720530E3BD59166015019B9E9","2","10028","10028","Reference/PressShop/RemainingMachineryPack_v1.0/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/data/unreal_asset_manifest.csv"
"3BEED4401FDB7F9FD57A2C10E719BACC0CDBF91720530E3BD59166015019B9E9","2","10028","10028","ReferencePacks/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/data/unreal_asset_manifest.csv"
"3C05B09F1335BB8A267497215A45F70E9336C4BF2668D0BD1B3BCE8887F81D66","2","2522590","2522590","ReferencePacks/LB_CR01_SHARED_ROBOT_PLATFORM_BUILD_PACK_v1.0/references/LB_CR01_design_sheet.png"
"3C05B09F1335BB8A267497215A45F70E9336C4BF2668D0BD1B3BCE8887F81D66","2","2522590","2522590","ReferencePacks/LB_MR01_SHARED_PLATFORM_BUILD_PACK_v1.0/references/LB_CR01_design_sheet.png"
"3D37D19DCBE4BDB5D30D6FA58F7E4C60D2654BAEB36057E6DBF46BB4FFC43008","2","1633656","1633656","Reference/PressShop/RemainingMachineryPack_v1.0/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/visuals/SHEET_02_PR009_ENGINEERING_REFERENCE_4K.png"
"3D37D19DCBE4BDB5D30D6FA58F7E4C60D2654BAEB36057E6DBF46BB4FFC43008","2","1633656","1633656","ReferencePacks/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/visuals/SHEET_02_PR009_ENGINEERING_REFERENCE_4K.png"
"3FDA35ABFAB3CB5FC3370BA42F070A42C5D44B65349AB35A2B0C18DA6E00648F","2","5959","5959","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/05_RightAccessDoor/task_complete.json"
"3FDA35ABFAB3CB5FC3370BA42F070A42C5D44B65349AB35A2B0C18DA6E00648F","2","5959","5959","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/05_RightAccessDoor/task_latest.json"
"40C8A07311CAAE4E8BA0E7E8D9CB7098FB9278588FEB8ECD49D2FBD0D84D177C","2","104366","104366","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/06_FixedSafetyFence/Original/right.png"
"40C8A07311CAAE4E8BA0E7E8D9CB7098FB9278588FEB8ECD49D2FBD0D84D177C","2","104366","104366","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/06_FixedSafetyFence/right.png"
"43F34EABADC8D6130CA430A10EF4F844D1AB389C861595B856F0F8B9ABF81724","2","687363","687363","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/11_FlywheelRotorShaft/Original/front.png"
"43F34EABADC8D6130CA430A10EF4F844D1AB389C861595B856F0F8B9ABF81724","2","687363","687363","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/11_FlywheelRotorShaft/front.png"
"44B9E67E1CFB009CF471C232E48B12C1126B1ECF1E8AA1101477923CC206C990","2","5959","5959","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/04_SmallSlugBin/task_complete.json"
